No,n,k,r,h,DFS_search_time_ms,BFS_search_time_ms,A*_search_time_ms,Bidirectional_BFS_search_time_ms,HGBPC_uf_build_time_ms,HGBPC_uf_query_time_ms
1,4,4,2,0,1.465,0.817,1.6709,1.2117,1.48,0.001
2,4,4,2,1,1.413,0.8,1.6168000000000002,1.1617000000000002,1.554,0.001
3,4,4,3,0,1.321,0.763,1.5780000000000003,1.1305,1.299,0.001
4,4,4,3,1,1.155,0.701,1.4362000000000001,1.0337,1.1,0.001
5,4,4,4,0,1.194,0.715,1.4805000000000001,1.0533,1.19,0.001
6,4,4,4,1,1.032,0.656,1.2666,0.9188,0.973,0.001
7,5,4,2,0,32.816,4.538,9.287799999999999,6.6405,10.1,0.001
8,5,4,2,1,30.757,4.467,9.144200000000001,6.5403,8.33,0.001
9,5,4,3,0,28.234,4.442,9.0306,6.4766,8.0,0.001
10,5,4,3,1,26.687,4.281,8.7407,6.293699999999999,7.597,0.001
11,5,4,4,0,27.444,4.355,8.799600000000002,6.3253,7.695,0.001
12,5,4,4,1,22.959,4.155,8.6233,6.0889999999999995,7.15,0.001
13,6,4,2,0,805.379,23.437,48.28240000000001,34.2263,47.341,0.001
14,6,4,2,1,775.239,23.53,48.428,35.38899999999999,44.858,0.001
15,6,4,3,0,776.429,23.778,48.8609,35.126000000000005,43.548,0.001
16,6,4,3,1,747.787,23.069,48.5794,33.9065,42.574,0.001
17,6,4,4,0,756.214,23.21,47.7981,33.6574,44.042,0.001
18,6,4,4,1,8347.513,23.786,49.1479,33.3845,42.039,0.001
Avg,-,-,-,-,688.0576666666667,9.527777777777779,19.653994444444447,13.920266666666667,17.82611111111111,0.0010000000000000005
