No,n,k,r,h,astar_avg_time_ms,bidirectional_bfs_avg_time_ms,records_count
1,4,4,2,0,1.6709,1.2117,10
2,4,4,2,1,1.6168000000000002,1.1617000000000002,10
3,4,4,3,0,1.5780000000000003,1.1305,10
4,4,4,3,1,1.4362000000000001,1.0337,10
5,4,4,4,0,1.4805000000000001,1.0533,10
6,4,4,4,1,1.2666,0.9188,10
7,5,4,2,0,9.287799999999999,6.6405,10
8,5,4,2,1,9.144200000000001,6.5403,10
9,5,4,3,0,9.0306,6.4766,10
10,5,4,3,1,8.7407,6.293699999999999,10
11,5,4,4,0,8.799600000000002,6.3253,10
12,5,4,4,1,8.6233,6.0889999999999995,10
13,6,4,2,0,48.28240000000001,34.2263,10
14,6,4,2,1,48.428,35.38899999999999,10
15,6,4,3,0,48.8609,35.126000000000005,10
16,6,4,3,1,48.5794,33.9065,10
17,6,4,4,0,47.7981,33.6574,10
18,6,4,4,1,49.1479,33.3845,10
