n,k,r,source_sink_from_different_branches,uf_build_time,uf_connected,uf_connected_time,dfs_connected,dfs_path_length,dfs_time,bfs_connected,bfs_path_length,bfs_time,fffp_connected,fffp_path_length,fffp_time,used_bfs
6,3,5,False,0.006717,True,0.000001,True,208,0.002393,True,3,0.000479,True,7,0.000009,False
6,3,5,False,0.006717,True,0.000001,True,651,0.015065,True,4,0.002568,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000002,True,348,0.004832,True,2,0.000119,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000001,True,626,0.015981,True,3,0.000876,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000001,True,417,0.007107,True,5,0.003118,True,7,0.000007,False
6,3,5,False,0.006717,True,0.000001,True,247,0.003283,True,4,0.002698,True,7,0.000004,False
6,3,5,False,0.006717,True,0.000001,True,266,0.003337,True,3,0.000779,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000001,True,339,0.005744,True,4,0.001322,True,6,0.000003,False
6,3,5,False,0.006717,True,0.000001,True,624,0.011731,True,3,0.000876,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000002,True,525,0.011532,True,4,0.002585,True,7,0.000004,False
6,3,5,False,0.006717,True,0.000001,True,178,0.002090,True,4,0.001895,True,6,0.000004,False
6,3,5,False,0.006717,True,0.000001,True,599,0.011864,True,4,0.001362,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000001,True,219,0.002511,True,5,0.002884,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000002,True,546,0.010056,True,2,0.000124,True,7,0.000004,False
6,3,5,False,0.006717,True,0.000001,True,519,0.009314,True,4,0.001594,True,7,0.000005,False
6,3,5,False,0.006717,True,0.000001,True,616,0.012309,True,4,0.002044,True,6,0.000004,False
6,3,5,False,0.006717,True,0.000001,True,251,0.003304,True,5,0.003615,True,6,0.000004,False
6,3,5,False,0.006717,True,0.000001,True,236,0.003264,True,3,0.000772,True,7,0.000006,False
6,3,5,False,0.006717,True,0.000001,True,555,0.014961,True,4,0.002024,True,7,0.000008,False
